"","Date","Age","Treatment","PlateID","Well","Family","Family_EBV","Count","AUC","AUC.cor","AUC.cor.norm"
"51",20260320,"72hpf","32C","plate_1_high","E8",4,"High",53,750.033333333333,425.183333333333,8.02232704402516
"52",20260320,"72hpf","32C","plate_1_high","E9",6,"High",25,470.525,145.675,5.827
"53",20260320,"72hpf","32C","plate_1_high","E10",5,"High",66,1199.31666666667,874.466666666666,13.2494949494949
"54",20260320,"72hpf","32C","plate_1_high","E11",8,"High",60,1421.68333333333,1096.83333333333,18.2805555555556
"55",20260320,"72hpf","32C","plate_1_high","E12",3,"High",11,1784.44166666667,1459.59166666667,132.690151515151
"56",20260320,"72hpf","32C","plate_1_high","F1",54,"Low",32,643.658333333333,318.808333333333,9.96276041666667
"57",20260320,"72hpf","32C","plate_1_high","F2",55,"Low",53,639.833333333333,314.983333333333,5.94308176100629
"58",20260320,"72hpf","32C","plate_1_high","F3",56,"Low",20,438.25,113.4,5.67
"59",20260320,"72hpf","32C","plate_1_high","F4",57,"Low",113,1336.6,1011.75,8.95353982300885
"60",20260320,"72hpf","32C","plate_1_high","F5",53,"Low",69,1118.45833333333,793.608333333333,11.5015700483092
"61",20260320,"72hpf","32C","plate_1_high","F6",52,"Low",75,989.925,665.075,8.86766666666666
"62",20260320,"72hpf","32C","plate_1_high","F7",1,"High",53,753.6,428.75,8.08962264150943
"63",20260320,"72hpf","32C","plate_1_high","F8",4,"High",37,650,325.15,8.78783783783784
"64",20260320,"72hpf","32C","plate_1_high","F9",6,"High",24,448.975,124.125,5.171875
"65",20260320,"72hpf","32C","plate_1_high","F10",5,"High",52,896.058333333333,571.208333333333,10.9847756410256
"66",20260320,"72hpf","32C","plate_1_high","F11",8,"High",55,1404.86666666667,1080.01666666667,19.6366666666667
"67",20260320,"72hpf","32C","plate_1_high","F12",3,"High",42,2430.13333333333,2105.28333333333,50.1257936507936
"68",20260320,"72hpf","32C","plate_1_high","G2",55,"Low",76,922.591666666667,597.741666666667,7.86502192982456
"69",20260320,"72hpf","32C","plate_1_high","G3",56,"Low",15,675.233333333333,350.383333333333,23.3588888888889
"70",20260320,"72hpf","32C","plate_1_high","G4",57,"Low",104,1273.525,948.675,9.121875
"71",20260320,"72hpf","32C","plate_1_high","G5",53,"Low",105,1491.99166666667,1167.14166666667,11.1156349206349
"72",20260320,"72hpf","32C","plate_1_high","G6",52,"Low",92,1265.275,940.425,10.2220108695652
"73",20260320,"72hpf","32C","plate_1_high","G7",1,"High",55,837.258333333333,512.408333333333,9.31651515151515
"74",20260320,"72hpf","32C","plate_1_high","G8",4,"High",39,735.483333333333,410.633333333333,10.5290598290598
"75",20260320,"72hpf","32C","plate_1_high","G9",6,"High",72,552.541666666667,227.691666666667,3.16238425925926
