"","Family","PlateID","Well","Note","obs_volume","Date","Treatment","Age","Type","Count","AUC","blanks_meanAUC","AUC_cor","AUC_cor_norm","Family_EBV","yearclass","sire","dam","sire_id","dam_id","ebv_mpv","sire_pop","dam_pop"
"25",1,"plate_3_34","G1","","",20260401,"34C","360hpf","Sample",7,2862.54166666667,1941.35138888889,921.190277777778,131.598611111111,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"26",1,"plate_1_26","B1","","",20260401,"26C","360hpf","Sample",28,6341.71666666667,1689.69652777778,4652.02013888889,166.143576388889,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"27",1,"plate_2_30","D1","","",20260401,"30C","360hpf","Sample",51,13317.125,1763.86875,11553.25625,226.53443627451,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"28",1,"plate_1_26","F1","","",20260401,"26C","360hpf","Sample",37,7627.1,1689.69652777778,5937.40347222222,160.470364114114,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"29",1,"plate_1_26","F1","","",20260401,"26C","360hpf","Sample",37,7627.1,1689.69652777778,5937.40347222222,160.470364114114,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"30",1,"plate_3_34","E1","","",20260401,"34C","360hpf","Sample",16,5639.51666666667,1941.35138888889,3698.16527777778,231.135329861111,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"31",1,"plate_2_30","G1","","",20260401,"30C","360hpf","Sample",11,3543.01666666667,1763.86875,1779.14791666667,161.74071969697,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"32",1,"plate_2_30","C1","","",20260401,"30C","360hpf","Sample",29,8234.59166666666,1763.86875,6470.72291666666,223.128376436782,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"33",1,"plate_1_26","D1","","",20260401,"26C","360hpf","Sample",11,3466.975,1689.69652777778,1777.27847222222,161.57077020202,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"34",1,"plate_1_26","D1","","",20260401,"26C","360hpf","Sample",11,3466.975,1689.69652777778,1777.27847222222,161.57077020202,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"35",1,"plate_3_34","D1","","",20260401,"34C","360hpf","Sample",21,6282.675,1941.35138888889,4341.32361111111,206.729695767196,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"36",1,"plate_2_30","F1","","",20260401,"30C","360hpf","Sample",34,8731.69166666667,1763.86875,6967.82291666667,204.935968137255,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
