"","Plate_row","Plate_col","flourescence","filename","timepoint","plate","Well","time","Date","gain","PlateID"
"1","A","1","702","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","A1",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"2","A","2","888","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","A2",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"3","A","3","755","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","A3",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"4","A","4","939","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","A4",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"5","A","5","970","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","A5",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"6","A","6","760","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","A6",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"7","A","7","753","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","A7",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"8","A","8","739","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","A8",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"9","A","9","749","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","A9",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"10","A","10","802","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","A10",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"11","A","11","739","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","A11",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"12","A","12","766","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","A12",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"13","B","1","999","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","B1",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"14","B","2","872","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","B2",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"15","B","4","809","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","B4",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"16","B","5","896","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","B5",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"17","B","6","885","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","B6",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"18","B","7","710","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","B7",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"19","B","8","742","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","B8",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"20","B","9","745","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","B9",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"21","B","10","712","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","B10",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"22","B","11","807","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","B11",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"23","B","12","778","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","B12",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"24","C","1","807","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","C1",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"25","C","2","861","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","C2",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"26","C","3","786","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","C3",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"27","C","4","831","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","C4",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"28","C","5","786","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","C5",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"29","C","6","761","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","C6",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"30","C","7","693","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","C7",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"31","C","8","668","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","C8",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"32","C","9","713","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","C9",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"33","C","10","687","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","C10",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"34","C","11","759","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","C11",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"35","C","12","735","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","C12",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"36","D","2","692","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","D2",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"37","D","4","765","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","D4",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"38","D","5","723","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","D5",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"39","D","6","802","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","D6",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"40","D","7","676","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","D7",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"41","D","8","689","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","D8",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"42","D","9","805","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","D9",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"43","D","10","679","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","D10",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"44","D","11","749","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","D11",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"45","E","1","860","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","E1",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"46","E","2","815","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","E2",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"47","E","3","720","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","E3",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"48","E","4","822","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","E4",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"49","E","5","698","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","E5",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"50","E","6","920","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","E6",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"51","E","7","745","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","E7",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"52","E","8","684","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","E8",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"53","E","9","727","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","E9",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"54","E","10","657","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","E10",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"55","E","11","797","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","E11",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"56","E","12","736","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","E12",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"57","F","1","855","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","F1",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"58","F","2","707","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","F2",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"59","F","3","932","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","F3",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"60","F","4","827","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","F4",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"61","F","5","839","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","F5",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"62","F","6","882","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","F6",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"63","F","7","709","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","F7",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"64","F","8","702","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","F8",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"65","F","9","844","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","F9",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"66","F","10","755","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","F10",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"67","F","11","733","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","F11",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"68","F","12","803","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","F12",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"69","G","1","702","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","G1",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"70","G","2","823","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","G2",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"71","G","3","692","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","G3",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"72","G","4","776","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","G4",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"73","G","5","679","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","G5",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"74","G","6","767","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","G6",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"75","G","7","691","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","G7",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"76","G","8","682","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","G8",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"77","G","9","704","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","G9",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"78","G","10","759","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","G10",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"79","G","11","707","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","G11",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"80","G","12","773","NIFA_Resazurin_34_T0_06072026_1042_g65","T0","NIFA_Resazurin_34_T0_06072026_1042_g65","G12",2026-07-06 10:42:00,20260706,65,"T0_34C_65g"
"81","A","1","7074","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","A1",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"82","A","2","4735","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","A2",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"83","A","3","8995","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","A3",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"84","A","4","6971","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","A4",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"85","A","5","1263","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","A5",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"86","A","6","2128","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","A6",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"87","A","7","7478","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","A7",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"88","A","8","11640","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","A8",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"89","A","9","6927","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","A9",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"90","A","10","1610","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","A10",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"91","A","11","1492","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","A11",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"92","A","12","4830","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","A12",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"93","B","1","8861","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","B1",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"94","B","2","4669","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","B2",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"95","B","4","4575","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","B4",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"96","B","5","835","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","B5",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"97","B","6","8432","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","B6",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"98","B","7","8644","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","B7",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"99","B","8","4739","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","B8",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"100","B","9","5789","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","B9",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"101","B","10","3076","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","B10",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"102","B","11","1939","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","B11",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
"103","B","12","2859","NIFA_Resazurin_34_T1_06072026_1138_g60","T1","NIFA_Resazurin_34_T1_06072026_1138_g60","B12",2026-07-06 11:38:00,20260706,60,"T1_34C_60g"
