"","Date","filename","time","timepoint","Treatment","PlateID","Well","gain","Type","Family","Age","Area_ImageJ","Count","flourescence","Note"
"1",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","A1",77,"Sample",2,"103dpf",NA,NA,2406,""
"2",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","A2",77,"Sample",5,"103dpf",NA,NA,2526,""
"3",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","A3",77,"Sample",7,"103dpf",NA,NA,4333,""
"4",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","A4",77,"Sample",15,"103dpf",NA,NA,2486,""
"5",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","A5",77,"Sample",17,"103dpf",NA,NA,2375,""
"6",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","A6",77,"Sample",18,"103dpf",NA,NA,2632,""
"7",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","A7",77,"Sample",49,"103dpf",NA,NA,2349,""
"8",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","A8",77,"Sample",53,"103dpf",NA,NA,2352,""
"9",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","A9",77,"Sample",54,"103dpf",NA,NA,2551,""
"10",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","A10",77,"Sample",55,"103dpf",NA,NA,2595,""
"11",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","A11",77,"Sample",56,"103dpf",NA,NA,2398,""
"12",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","A12",77,"Sample",58,"103dpf",NA,NA,2422,""
"13",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","B1",77,"Sample",2,"103dpf",NA,NA,2533,""
"14",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","B2",77,"Sample",5,"103dpf",NA,NA,2355,""
"15",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","B3",77,"Sample",7,"103dpf",NA,NA,2410,""
"16",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","B4",77,"Sample",15,"103dpf",NA,NA,2828,""
"17",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","B5",77,"Sample",17,"103dpf",NA,NA,2508,""
"18",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","B6",77,"Sample",18,"103dpf",NA,NA,2538,""
"19",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","B7",77,"Sample",49,"103dpf",NA,NA,2350,""
"20",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","B8",77,"Sample",53,"103dpf",NA,NA,2340,""
"21",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","B9",77,"Sample",54,"103dpf",NA,NA,2673,""
"22",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","B10",77,"Sample",55,"103dpf",NA,NA,2570,""
"23",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","B11",77,"Sample",56,"103dpf",NA,NA,2712,""
"24",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","B12",77,"Sample",58,"103dpf",NA,NA,2673,""
"25",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","C1",77,"Sample",2,"103dpf",NA,NA,2315,""
"26",20260628,"NIFA_Resazurin_26_T0_28062026_1000_g77",2026-06-28 10:00:00,"T0","26C","T0_26C_77g","C2",77,"Sample",5,"103dpf",NA,NA,2437,""
