"","Date","filename","time","timepoint","Treatment","PlateID","Well","gain","Type","Family","Age","Area_ImageJ","Count","flourescence","Note"
"35",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","C11",77,"Sample",56,"101dpf",NA,NA,2783,""
"36",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","C12",77,"Sample",58,"101dpf",NA,NA,2444,""
"37",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","D1",77,"Sample",2,"101dpf",NA,NA,2496,""
"38",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","D2",77,"Sample",5,"101dpf",NA,NA,3400,""
"39",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","D3",77,"Sample",7,"101dpf",NA,NA,2299,""
"40",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","D4",77,"Sample",15,"101dpf",NA,NA,2597,""
"41",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","D5",77,"Sample",17,"101dpf",NA,NA,2171,""
"42",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","D6",77,"Sample",18,"101dpf",NA,NA,2583,""
"43",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","D7",77,"Sample",49,"101dpf",NA,NA,2155,""
"44",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","D8",77,"Sample",53,"101dpf",NA,NA,2384,""
