"","Plate_row","Plate_col","flourescence","filename","timepoint","plate","Well","time","Date","gain","PlateID"
"29","C","5","806","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","C5",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"30","C","6","756","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","C6",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"31","C","7","786","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","C7",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"32","C","8","731","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","C8",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"33","C","9","854","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","C9",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"34","C","10","781","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","C10",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"35","C","11","801","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","C11",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"36","C","12","857","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","C12",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"37","D","1","901","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","D1",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"38","D","2","848","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","D2",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
