"","Plate_row","Plate_col","flourescence","filename","timepoint","plate","Well","time","Date","gain"
"37","D","5","750","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","D5",NA,20260710,60
"38","D","6","1881","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","D6",NA,20260710,60
"39","D","7","586","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","D7",NA,20260710,60
"40","D","9","839","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","D9",NA,20260710,60
"41","D","10","630","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","D10",NA,20260710,60
"42","D","11","2857","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","D11",NA,20260710,60
"43","E","1","2161","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","E1",NA,20260710,60
"44","E","2","532","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","E2",NA,20260710,60
"45","E","3","1505","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","E3",NA,20260710,60
"46","E","4","578","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","E4",NA,20260710,60
"47","E","5","2084","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","E5",NA,20260710,60
"48","E","6","1557","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","E6",NA,20260710,60
"49","E","7","393","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","E7",NA,20260710,60
"50","E","8","496","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","E8",NA,20260710,60
"51","E","9","1001","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","E9",NA,20260710,60
"52","E","10","556","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","E10",NA,20260710,60
"53","E","11","533","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","E11",NA,20260710,60
"54","E","12","905","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","E12",NA,20260710,60
"55","F","1","1128","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","F1",NA,20260710,60
"56","F","2","477","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","F2",NA,20260710,60
"57","F","3","635","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","F3",NA,20260710,60
"58","F","4","570","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","F4",NA,20260710,60
"59","F","5","954","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","F5",NA,20260710,60
"60","F","6","571","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","F6",NA,20260710,60
"61","F","7","847","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","F7",NA,20260710,60
