,"Time (minutes)",277,277,277,277,277,277,277,277,277,277,277,277,277,260,260,260,260,260,260,260,260,260,260,260,260,260,251,251,251,251,251,251,251,251,251,251,251,251,251,256,256,256,256,256,256,256,256,256,256,256,256,256,264,264,264,264,264,264,264,264,264,264,264,264,264,278,278,278,278,278,278,278,278,278,278,278,278,278,261,261,261,261,261,261,261,261,261,261,261,261,261,258,258,258,258,258,258,258,258,258,258,258,258,258,306,306,306,306,306,306,306,306,306,306,306,306,306
Baseline,1.552233,1.75776879,1.35605348,1.08242722,1.92424094,2.20311166,2.16990541,2.02829737,1.94488403,1.90695388,3.81467958,1.97408501,2.60541142,1.85531106,2.54934193,2.89767437,1.64386455,,,,,,,,,,,0.98384934,1.84475686,2.43055278,2.15110398,0.97550527,0.73764441,1.15164860,2.10108350,0.75859580,1.25872272,,,,3.79977323,2.93537162,1.41933345,2.09183154,2.69310163,2.03473440,1.72375961,1.77916429,2.52391894,,,,,1.99816574,4.21107049,2.30512331,1.79910709,1.94592892,2.12660423,1.05191363,2.24445195,3.37682843,1.67406041,,,,1.33169138,2.60199950,2.20684962,1.30289467,1.97802334,2.16890096,1.99663538,1.30531893,1.72999249,,,,,4.44782225,2.09771424,2.05941479,0.73493488,1.97993342,1.84923539,1.88860313,1.68847020,5.89522630,2.80709176,2.13632254,1.90980663,1.55270939,0.58834914,2.67214196,2.83174314,2.27051407,2.46569492,2.45416273,2.95541943,2.21587122,3.29907248,2.85393230,3.05784791,2.13700042,1.74588589,2.38659478,1.73375111,2.19625292,1.30371664,2.06860873,1.77018528,2.13033354,1.83683422,1.80323863,,2.30779091,2.44157357,
,8.531511,1.82745056,1.65343374,1.19478982,2.10854227,1.79804211,2.03306005,2.11902471,1.82353125,2.03856898,3.44602029,1.59391415,2.23464739,1.63677344,2.96271813,2.96231938,1.74114745,,,,,,,,,,,0.92715830,2.39363969,1.89570223,1.60269579,0.99204450,0.67097462,1.17429845,1.89396617,1.05616576,1.41131117,,,,3.28398433,2.54784782,1.29462454,2.64154384,2.40148291,1.76728268,2.29357275,1.96119021,2.47634584,,,,,1.70059507,2.76695579,1.57989006,1.96024589,1.52339242,1.95270162,1.03858501,2.23589873,3.37134927,1.66987685,,,,1.38883558,1.44930132,1.83637034,1.23838647,1.70517152,1.92450239,1.66869419,1.13435969,1.62225827,,,,,4.13480481,1.65972332,2.09956494,0.70616687,1.56961669,2.44990461,2.41492567,1.70645596,5.18094376,2.14170521,1.96652084,1.74952041,1.67046424,0.77692732,2.36953648,2.61892685,3.52430955,2.06027311,2.97133236,1.94366623,2.92681512,2.44172874,3.05370958,3.24848059,2.00465077,2.93401940,2.11359024,1.92554035,1.98467459,2.52116186,1.98612955,2.44930806,1.99249634,1.86395389,2.02359987,,2.49301759,2.32125205,
,15.507056,1.88987372,2.14803091,1.21587160,1.63327348,1.94419816,1.93447305,2.11079902,1.78366236,2.05799166,3.21652896,1.61708298,3.02148076,1.68673530,3.51359634,2.13783505,1.85141878,,,,,,,,,,,0.99970516,2.96364943,1.65411082,2.07803036,0.88354123,0.52152606,1.15879749,1.82289859,0.75070248,1.15403792,,,,2.85734130,2.22942785,1.26239707,2.47607822,2.20861087,1.20658318,1.65150163,1.92665232,1.86624875,,,,,1.56203947,3.12431737,1.34562803,1.42303800,1.54941735,2.36526759,1.09289128,1.96910847,3.18294633,1.52635953,,,,1.28646429,2.22963062,2.07347997,1.24804677,1.77489328,1.79796683,1.87073467,1.02793602,2.04461533,,,,,3.87777352,1.88320200,1.59778913,0.90064334,2.00934620,1.97075932,1.38604529,1.75561357,3.47738177,2.55842144,1.92406647,2.30390098,1.93515676,1.00344027,2.22307828,2.18618847,1.83028796,2.19456817,1.89702807,2.19999104,2.66842243,3.72261825,3.01602890,3.02441196,2.41009699,2.69605511,2.12404249,2.07314903,2.15459231,2.26526972,1.94921206,2.54637864,1.96935278,1.78869226,2.14110189,,2.12198027,2.25572800,
,22.481860,1.98544134,1.89768397,1.09173851,1.54211597,2.15854120,2.10288753,2.01785201,1.74152301,1.95125659,3.21422929,1.42177691,3.16244331,1.69776916,3.19904148,2.39921798,1.84639192,,,,,,,,,,,1.18335824,2.32255102,1.74285102,1.67805079,1.07921644,0.70842146,0.94014647,1.79024059,0.50618134,1.64397279,,,,3.42840219,2.53386208,1.15479576,2.14831846,2.18494234,2.38272502,2.18753252,1.77128115,1.43698299,,,,,1.91756528,2.18756922,1.51835807,1.96988609,1.63525379,1.73089293,1.09447495,1.93487495,3.27778652,1.71002925,,,,1.21830068,1.33118219,1.70063254,1.56781124,1.68196627,1.83245694,2.17621952,1.04153179,1.97028924,,,,,3.89870430,1.93030949,1.80759493,0.86583184,1.86340826,1.97860026,2.05412401,1.73807835,2.79967432,2.11426614,1.89317531,2.32432430,1.91346121,0.74718239,2.15003504,2.17601608,1.84770282,2.77743554,2.54029232,2.56335237,2.39212544,2.70829688,2.96338388,2.91607559,1.96991557,2.05616903,2.05110157,2.26420551,2.17411984,1.90233740,2.46728996,1.88536454,1.98403182,2.26083136,2.06306271,,2.13267238,2.14908113,
,29.462950,2.11823818,2.04614956,1.30943127,1.47837680,2.06340605,2.08896381,1.96803615,1.72223086,2.00651501,3.02802149,1.41196730,3.11037331,1.75606248,2.19398279,1.96609249,1.65273159,,,,,,,,,,,1.03869341,2.32469117,1.92011461,1.50461626,1.39345818,0.66958705,0.86685558,1.79628726,0.72392464,1.05647205,,,,4.05937342,2.51915527,1.25806573,2.21883995,2.20368860,2.19994438,1.91968511,2.34520766,2.22488038,,,,,1.58980230,2.57511996,1.59257854,1.71528252,2.02381361,1.90468114,0.89651404,1.66050079,3.05902477,1.49536419,,,,1.28562762,1.85055251,1.76250106,1.55444206,1.57820217,1.91747888,2.08428735,1.14337516,2.33639151,,,,,3.74940230,2.02370045,1.66375558,0.73878357,1.96644215,2.01036108,1.83037618,1.76433343,2.80220630,2.17211649,1.88591512,2.17865465,1.98299584,0.89234061,2.17212133,2.44803680,3.87595113,2.24116927,2.60272743,2.34562903,2.77853790,4.81627957,4.31599572,3.12303804,2.10872660,2.22922065,2.07512837,2.09384585,2.10892168,1.60050361,2.52178000,1.23875761,2.02776980,2.22598269,2.01551151,,2.15660304,2.10388196,
,36.438874,2.16893140,2.12310875,1.01892305,1.46621786,1.97045252,1.95946829,2.71917172,1.70072737,1.90362026,3.09632820,1.38806620,3.11121801,1.32975363,2.98123112,2.23084986,1.72590428,,,,,,,,,,,1.01131954,1.96830579,1.10804881,1.77801151,1.08812704,0.84508365,1.14967213,1.76867189,0.86505297,1.45266485,,,,3.05639668,2.23235762,1.09134904,2.01084301,2.22626756,2.04490773,1.59950074,2.25102149,2.17315605,,,,,1.69883383,2.31823628,1.88111752,1.69138694,1.79650691,1.71451812,0.97725149,2.43938161,3.36595670,1.57065936,,,,1.40265248,1.59606301,1.64215966,1.54077503,1.56581636,1.67782909,2.04215421,1.13592076,2.33914248,,,,,3.42388224,1.99517125,1.97485800,0.99819944,2.46578509,2.24017584,1.96172409,1.69836366,4.56711930,1.94977733,1.83919543,2.23672516,2.03276822,0.96428060,2.14616420,2.41091885,2.79891874,2.36214704,2.25636767,2.36540910,2.48614682,2.91216323,4.33456212,3.06363891,1.89497820,1.52525657,3.58935239,2.09985280,2.18651192,1.92940981,2.42528116,1.26513909,2.00254297,2.28274008,2.03457136,,2.13863339,2.07170825,
,43.407385,2.11231167,1.98707467,1.15521526,1.54303832,1.64222598,1.92784492,1.74520378,1.67086996,2.71657526,2.79058658,1.38555778,3.19750004,1.37669684,2.37309821,2.03597621,1.44427656,,,,,,,,,,,1.20533059,2.16701331,1.93569234,1.91258751,1.55537432,0.76980791,1.21604904,1.75495219,1.06852542,1.49100365,,,,2.52777251,2.07347643,1.33972954,1.65557173,1.88998151,1.94026833,1.92206530,2.15325092,2.03473918,,,,,1.76547905,2.22817027,1.79901342,2.01590590,1.64667415,2.14974901,1.02425783,1.59583404,2.99541056,1.43392139,,,,1.45167021,1.76634176,1.61624736,1.39274601,1.60118729,1.63630042,1.78104067,0.85836895,3.31715014,,,,,2.88437087,2.14449175,1.33839990,0.90794034,2.23929983,2.18881439,2.06726553,1.65672448,3.25476694,2.28864653,1.81009831,2.06783178,1.93053915,0.97444314,2.09730001,2.28924293,3.64001069,2.29787060,1.92238903,3.12252308,3.06292819,4.07975274,4.30100502,3.20689490,2.17491146,2.31123107,2.99462586,2.00632672,2.13995332,1.77148063,2.29929613,1.69210268,1.96752232,2.26566261,1.97218920,,2.23012501,2.04677188,
,50.384788,2.08087694,1.41959526,1.07820877,1.55610634,1.64611436,2.16955817,1.74858079,1.64821490,2.44079265,2.83338372,1.35535999,3.16924577,1.38497609,2.99457515,1.98579281,0.95155672,,,,,,,,,,,1.22407519,2.87928054,2.00982326,1.69004707,1.43998284,0.75859581,0.98710102,1.76629041,0.93587293,1.75511294,,,,3.24722195,1.86720522,1.04933820,1.62116557,1.79680407,1.60548707,1.62921865,2.13519458,3.28265982,,,,,1.89239089,2.99905849,1.38427088,1.56276680,1.85077967,2.16014812,1.00450498,1.53401206,3.04633003,1.83588962,,,,1.37825774,1.23736622,1.41109154,1.80307561,1.72080698,1.55968972,1.65738848,1.25065909,2.62550834,,,,,2.96707706,2.09092550,1.76825564,1.26471684,1.69315720,2.38903882,1.96129191,1.64325655,3.67165210,1.92301667,1.80619478,2.55808948,2.14636236,0.97140808,2.11043167,2.24439223,2.71148431,2.31981399,2.65248276,2.44497640,2.28045192,3.06046360,4.32442106,2.64375535,1.77308878,2.65737905,3.18409708,2.27830034,2.13995581,1.35256205,2.34412533,2.07839213,1.96805590,2.21554921,1.99653583,,1.97035293,2.07175054,
,57.365878,2.29309908,2.04951003,1.27355150,1.52401613,1.66907074,1.80168603,1.85216394,1.67600857,1.76094506,2.83578670,1.39028485,3.14111303,1.42654668,2.87405355,2.58688708,1.79624715,,,,,,,,,,,1.23101978,3.10288816,1.97230944,1.89336675,2.07846226,0.73662355,0.71347082,1.77155844,1.13693427,1.43980981,,,,3.49802236,2.70486726,1.54580780,2.32795667,1.76741754,1.88231566,2.06236785,2.10151034,2.57527363,,,,,2.02932209,2.43739402,1.77892926,1.65201994,1.65051717,2.16678464,1.14512385,1.61311897,3.14424512,2.10368563,,,,1.36274329,1.99998379,2.32861279,1.20520683,1.75693562,1.85369330,1.64726092,1.25353897,1.83796853,,,,,2.91536842,1.93065131,1.84032377,0.66206267,1.78531136,2.03435230,2.30950939,1.66703863,4.06047466,2.22209898,1.79134844,2.49965182,1.91710204,1.17276876,2.14342241,2.09463805,3.62869639,2.27006008,2.02370513,2.77598835,2.41786584,4.09877365,4.12357149,2.49857365,2.18682928,2.38374671,2.99819256,1.75995110,2.08386489,2.59282276,2.31210791,2.13901748,1.96052777,2.23875669,1.95712036,,2.33676154,2.05072682,
