,"Time (minutes)",264,264,264,264,264,264,264,264,264,264,264,264,264,521,521,521,521,521,521,521,521,521,521,521,521,521,277,277,277,277,277,277,277,277,277,277,277,277,277,260,260,260,260,260,260,260,260,260,260,260,260,260,261,261,261,261,261,261,261,261,261,261,261,261,261,258,258,258,258,258,258,258,258,258,258,258,258,258,306,306,306,306,306,306,306,306,306,306,306,306,306,256,256,256,256,256,256,256,256,256,256,256,256,256,278,278,278,278,278,278,278,278,278,278,278,278,278
Baseline,1.552950,1.28966478,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84302423,1.84377805,,,,,,,,,,,,,1.24789645,1.46591131,1.40536698,2.12188728,1.79757728,2.22276873,1.16148888,,,,,3.13554938,,4.58712355,,2.01956723,,,1.01370671,1.26445517,,,,,,,1.59851465,,1.77489816,2.11800551,,2.65620911,,,,,,1.44643381,1.69665789,,1.43792833,1.72517268,,,,,,,,,,2.55207523,,,,,,,,,,,,,0.89995283,1.26714720,2.57666984,,,2.86092512,3.97022845,2.74663511,2.06374251,,,
,8.523691,1.20024693,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75352242,1.66212420,,,,,,,,,,,,,1.29488047,1.48861656,1.32832451,2.05321878,1.75229781,2.34483589,1.27892003,,,,,2.85715223,,3.72416292,,1.87240242,,,1.25276496,1.20326710,,,,,,,1.43149717,,1.86015682,1.48852815,,1.98541116,,,,,,1.23407037,1.53591338,,1.35025365,2.28106180,,,,,,,,,,2.06067894,,,,,,,,,,,,,1.13703186,1.37954377,2.38646652,,,2.79084268,3.55874467,2.66928201,1.98930177,,,
,15.488466,1.10164875,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55816602,1.55120177,,,,,,,,,,,,,1.10067382,1.58385911,1.36228866,1.86398350,1.76850339,1.99008901,1.72145314,,,,,2.53562114,,4.13070158,,1.75705404,,,1.22174826,1.22006388,,,,,,,1.31649008,,1.56108909,1.94701655,,2.34697257,,,,,,1.13136476,1.40190840,,1.28821940,2.55027593,,,,,,,,,,2.20093979,,,,,,,,,,,,,1.12607745,1.35578724,2.07415465,,,2.68653680,3.29699811,2.58450631,1.86089659,,,
,22.456966,1.22627645,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53403260,1.59647020,,,,,,,,,,,,,1.04952259,1.57558235,1.07752824,1.86591264,1.72386087,2.17764892,1.32708334,,,,,2.52539635,,3.18077296,,1.69683214,,,1.18755166,1.15362545,,,,,,,1.31248676,,1.65438464,1.39702669,,2.07930720,,,,,,1.09007810,1.46752061,,1.28885352,2.58680522,,,,,,,,,,2.13026749,,,,,,,,,,,,,1.11307989,1.36533835,1.45303843,,,2.72438796,3.30192474,2.55563940,1.84974431,,,
,29.422849,1.16824248,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53284191,1.69842029,,,,,,,,,,,,,0.98543855,1.56814032,1.14813914,1.93568965,1.71042533,1.97707977,1.49754973,,,,,2.66960508,,3.56325077,,1.72295421,,,1.17227360,1.22502674,,,,,,,1.36812395,,1.60829840,1.97512273,,2.04862170,,,,,,1.10656669,1.47810030,,1.29763560,2.70921326,,,,,,,,,,2.13945411,,,,,,,,,,,,,1.08034950,1.38428221,2.17469076,,,1.50387231,3.34383524,2.58125782,1.87423403,,,
,36.386525,1.25313871,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52595259,1.59786176,,,,,,,,,,,,,1.00925055,1.55859542,1.15850001,2.56994082,1.67739099,1.56154424,1.20837559,,,,,2.65524416,,1.81718100,,1.64267686,,,1.20904443,1.81074495,,,,,,,1.38882082,,1.59704000,2.05710054,,1.85802282,,,,,,1.11773031,1.32866926,,1.26152936,2.54303604,,,,,,,,,,1.66581117,,,,,,,,,,,,,1.11344972,1.37548970,2.07098806,,,2.68622907,3.20120277,2.52877386,1.83355523,,,
,43.356859,1.32689969,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55905917,1.60528629,,,,,,,,,,,,,1.00418667,1.60357904,1.02612375,1.55108794,1.77550249,1.61276821,1.02398580,,,,,2.83191292,,2.87881139,,1.49002624,,,1.29016074,1.52381120,,,,,,,1.59377911,,1.50901010,2.12292723,,1.90185784,,,,,,1.25156152,1.33620212,,1.32897265,2.43573469,,,,,,,,,,1.95157836,,,,,,,,,,,,,1.12461556,1.44498469,2.24977763,,,2.69844434,3.21899532,2.60440204,1.83774994,,,
,50.329432,1.32337129,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60590113,1.36142118,,,,,,,,,,,,,1.00211337,1.61463082,1.17094818,1.54656904,1.77173373,1.92252035,0.99747923,,,,,2.73438983,,2.67076178,,1.74615052,,,1.24469036,1.36366247,,,,,,,1.51916614,,1.88906577,1.43771267,,1.81347600,,,,,,1.20869869,1.31778183,,1.28307428,2.66752737,,,,,,,,,,1.67477318,,,,,,,,,,,,,1.11952175,1.25140932,2.13783058,,,1.57024438,3.20447055,2.51360262,1.83233015,,,
"Oligo 10uM",57.393100,1.42565256,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93428369,1.70669337,,,,,,,,,,,,,1.25095615,1.79454578,1.34056586,1.95476211,2.12626360,1.82145057,1.54587399,,,,,2.89326248,,2.86073930,,2.17126536,,,1.45695836,0.82559377,,,,,,,1.47583274,,2.26223064,2.20171076,,2.61869320,,,,,,1.68392414,1.83678106,,1.44511748,2.00662327,,,,,,,,,,2.32899416,,,,,,,,,,,,,1.15949932,1.68024836,2.32349116,,,1.27047164,3.02987261,2.86303434,2.30368661,,,
,64.367881,1.44308535,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81282656,1.59789168,,,,,,,,,,,,,1.11540344,1.79424730,1.32052356,1.57936683,1.74157215,1.93173005,1.42263775,,,,,2.71555043,,2.60444940,,1.86688332,,,1.55456794,1.01998318,,,,,,,1.34838647,,2.03477131,2.12907680,,1.81679652,,,,,,1.54257774,1.81132981,,1.39341517,2.11346698,,,,,,,,,,1.86017043,,,,,,,,,,,,,1.14904869,1.37315222,1.97417901,,,2.17004888,3.29410946,2.77754700,2.14828800,,,
